Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,View,Price
57,2190,4,2,1,1968,0,2,0,2,491500
58,3660,5,3,2,2006,2,2,0,2,785000
59,1320,3,3,2,2008,2,2,1,0,385000
60,1630,2,2,2,2009,2,2,1,0,295000
61,3310,4,2,2,2012,2,2,0,0,555000
62,2680,3,2,2,2013,1,2,0,0,459990
63,2730,4,3,1,2007,1,2,1,0,625000
64,2540,3,2,2,2006,0,2,0,0,300000
65,2920,4,3,2,2012,1,2,0,0,625000
66,900,2,1,1,1944,2,2,0,0,553000
67,1650,3,2,1,1986,2,3,1,0,379880
68,1010,3,1,1,1973,2,3,0,0,310000
69,2680,2,2,1,2004,3,2,0,0,775000
70,2200,3,2,1,1988,1,4,1,0,365000
71,2530,4,2,2,1990,0,2,1,2,331950
72,2850,3,2,2,1980,2,2,1,0,783500
73,2280,4,2,1,1900,2,2,1,0,628000
74,1900,3,2,2,1987,3,2,0,0,560000
75,1330,3,1,1,1928,2,2,0,0,900000
76,1270,2,3,2,2000,2,2,1,0,531000
77,2170,4,3,2,1982,2,3,1,0,831000
78,2730,4,2,2,1996,3,2,0,2,780000
79,2120,4,2,1,1960,3,3,1,0,755000
80,2490,3,2,2,2003,2,2,0,0,705380
81,1990,4,2,1,1973,2,2,1,0,627000
82,3690,4,3,2,1998,3,2,0,0,865000
83,2540,2,1,1,1942,2,4,1,0,580000
84,1800,3,2,1,1978,2,3,1,0,410000
85,2340,4,3,1,1979,2,3,1,0,485000
86,2110,2,2,1,1948,1,1,0,0,400000
87,1140,2,1,1,1908,2,4,0,0,549000
88,1480,3,2,2,2005,2,2,0,0,620000
89,1410,2,3,2,2006,2,2,1,0,405000
90,1200,2,1,1,1958,0,3,0,0,232000
91,3180,5,2,2,1990,2,3,0,0,800866
92,2160,3,2,1,1949,2,3,1,2,650000
93,2920,6,2,2,1908,2,3,1,0,823000
94,2350,3,2,2,1939,2,3,1,0,770000
95,1560,3,2,1,1944,2,3,1,0,524000
96,2740,5,3,1,1960,3,3,1,0,541125
97,1680,3,2,3,1909,2,2,0,0,670000
98,3090,5,2,1,1968,0,2,1,0,384900
99,1410,3,2,3,2005,2,2,0,0,406100
100,4010,5,4,2,1971,2,4,1,1,1395000
101,3180,4,2,2,2000,1,2,0,3,736500
102,2010,3,2,1,1975,3,2,1,0,570000
103,1330,3,2,1,1961,3,2,0,0,787000
104,2370,4,2,2,1998,0,2,0,0,328000
105,1840,5,2,1,1942,2,3,1,0,435000
106,2910,4,2,2,2006,2,2,0,0,499000
107,2070,4,1,1,1963,3,2,1,0,501000
108,4340,4,2,2,1992,3,2,0,0,1090000
109,840,2,1,1,1955,2,2,0,0,400000
110,1240,4,2,1,1971,0,2,0,0,220000
111,1390,4,1,1,1924,2,2,1,0,657100
112,2310,4,3,2,2006,1,2,0,0,309950
113,1050,3,2,1,1986,1,2,0,0,300000
114,2550,5,2,1,1960,2,4,1,0,525888
115,2010,4,2,2,1902,2,2,0,0,740000
116,1120,5,1,2,1962,2,3,0,0,340000
117,2230,3,2,2,1954,2,2,0,0,398750
118,810,2,1,1,1944,1,4,0,0,206000
119,3190,5,3,1,1976,3,2,1,3,1030000
120,1670,3,2,1,1976,3,3,0,0,600000
121,1970,4,2,1,1960,1,4,1,0,379950
122,1450,3,1,1,1953,2,3,0,0,287000
123,13540,7,8,3,1999,3,2,1,4,2280000
124,1880,3,2,2,1994,1,2,0,0,309950
125,1880,3,2,1,1945,2,3,1,0,600000
126,1410,3,2,2,1930,2,3,0,0,418000
127,1480,4,2,2,1928,2,4,0,0,449250
128,1140,2,1,2,1949,2,3,0,0,329950
129,1920,3,2,1,1984,0,2,1,0,245000
130,2910,4,2,2,2008,1,2,0,0,549000
131,3240,3,2,2,1994,3,2,0,0,800000
132,1550,3,2,1,1958,1,3,0,0,249950
133,2050,5,2,1,1956,0,2,1,0,210000
134,2220,2,2,2,2000,2,2,0,0,1425000
135,1770,2,1,2,1949,2,2,1,0,585000
136,2300,4,2,1,1977,3,3,1,0,615000
137,1800,3,2,1,1942,2,3,1,0,618500
138,2010,4,2,1,1977,2,2,1,0,487585
139,1790,3,2,2,2010,2,2,0,0,509900
140,2440,4,2,2,2014,2,2,0,0,631625
141,1940,3,2,2,2009,2,2,0,0,555000
142,1160,2,2,2,2001,2,2,0,0,340000
143,3400,4,2,2,2007,3,2,0,0,830000
144,4420,4,4,2,2006,2,2,1,0,890000
145,1571,3,3,3,2008,2,2,0,0,366750
146,1620,3,2,2,2010,2,2,1,0,415000
147,1408,3,2,3,2005,2,2,0,0,416286
148,3040,3,2,2,2007,1,2,0,0,478000
149,4490,5,4,2,2006,2,2,1,0,890000
150,1590,2,2,2,2014,2,2,0,0,419190
151,2450,4,2,2,2013,3,2,0,0,712198
152,1440,4,2,1,1971,2,2,1,0,397000
153,1100,2,2,2,1912,2,2,0,0,450000
154,1350,3,1,1,1947,2,3,1,0,353000
155,2150,4,2,2,1985,3,2,0,0,609000
156,1490,3,2,1,1975,0,3,1,0,234000
157,2000,3,2,2,1916,2,2,0,0,561000
158,1030,2,1,1,1924,2,2,0,0,469000
159,720,2,1,1,1942,2,2,0,0,329350
160,2020,5,2,2,1938,2,3,0,0,488000
161,1580,3,2,1,1962,0,3,1,1,279900
162,2110,4,2,2,1987,2,2,0,0,606000
163,1300,4,2,1,1950,2,2,0,0,312000
164,1630,3,2,1,1940,2,2,1,1,650000
165,3370,4,3,1,1970,2,2,1,3,1135000
166,1890,4,2,1,1980,2,2,1,0,325000
167,1520,4,2,1,1967,1,4,0,0,425000
168,900,2,1,1,1952,2,2,0,0,219000
169,1050,3,1,1,1954,1,2,0,0,250000
170,1260,3,2,1,1966,3,3,0,0,390000
171,3470,6,3,2,1924,1,2,0,0,475000
172,2290,4,2,2,1988,3,3,0,0,736000
173,2810,4,2,1,1958,0,2,1,1,407000
174,1650,3,2,2,1998,1,2,0,0,272000
175,1640,3,2,1,1963,1,3,1,0,362000
176,1850,3,2,2,1991,2,2,0,0,535000
177,2000,4,2,2,2003,0,2,0,0,284000
178,1410,3,2,1,1961,1,2,0,0,367500
179,1500,4,2,1,1955,1,3,1,0,379900
180,2460,3,2,2,1980,1,3,0,0,520000
181,1010,3,1,1,1954,1,2,0,0,175000
182,1230,2,2,2,2004,2,2,1,0,460000
183,2331,4,2,2,2007,1,2,0,0,345000
184,2240,5,2,1,1978,2,2,1,0,455000
185,2450,4,3,1,1967,3,4,1,0,610000
186,3100,4,3,2,1996,1,2,1,0,563000
187,2060,4,2,1,1949,2,2,1,0,612500
188,1850,3,2,1,1979,0,2,1,0,218000
189,1840,4,2,1,1958,3,2,1,0,404000
190,3740,4,2,2,2000,3,2,0,0,860000
191,1420,3,2,1,1962,0,2,0,0,136500
192,1510,3,1,1,1940,2,3,1,0,313950
193,2130,3,2,1,1954,2,2,1,2,575000
194,3490,4,2,2,1928,2,3,1,0,1225000
195,1630,3,2,1,1971,1,3,0,0,280000
196,1790,3,2,2,1989,3,2,0,0,515000
197,2000,4,2,2,1996,1,2,0,0,513000
198,2260,4,2,2,1977,3,3,1,0,599000
199,3030,4,2,2,1999,3,2,0,0,685000
200,1310,3,2,1,1950,2,2,0,0,365000
201,3880,4,2,2,1987,3,2,0,0,762300
202,3760,4,3,2,1950,2,4,1,0,1580000
203,3040,5,2,2,1984,3,2,0,0,562000
204,2910,5,2,1,1964,3,3,1,0,530000
205,2970,3,2,1,1995,3,2,1,0,525000
206,1660,2,2,1,1942,2,2,1,0,484000
207,3200,4,2,2,1998,3,2,0,0,725126
208,2680,4,2,1,1965,0,4,0,0,360000
209,1230,3,1,1,1962,3,4,0,0,387000
210,2740,4,2,2,1995,3,2,0,0,483500
211,3380,4,4,2,2000,1,2,0,0,655500
212,1110,3,1,1,1956,2,2,0,0,345000
213,1800,5,3,2,1926,2,2,1,0,533000
214,1900,3,2,1,1982,2,2,1,0,385000
215,930,2,1,1,1951,3,2,0,2,675000
216,1690,3,2,1,1976,0,3,1,0,197000
217,1420,3,2,2,1905,2,2,0,0,485000
218,4510,5,4,2,1969,3,2,0,0,1870000
219,1980,3,2,1,1974,0,3,1,0,295000
220,1170,2,2,1,1903,2,3,1,0,499000
221,2200,3,2,2,2008,2,2,1,0,1050000
222,800,3,2,1,1959,0,3,0,0,191000
223,1480,3,2,3,2006,2,2,0,0,500000
224,2890,5,4,1,2006,2,2,1,0,390000
225,2690,3,2,3,2014,2,2,0,0,979000
226,3569,4,3,2,2013,1,2,0,0,580000
227,1270,3,2,3,2006,2,2,0,0,369950
228,4490,5,5,2,2013,3,2,1,0,1800000
229,3040,4,2,2,2008,3,2,0,0,776000
230,1170,3,2,3,2014,2,2,0,0,519950
231,2060,5,2,1,1962,1,2,1,0,255000
232,990,3,1,1,1943,2,2,0,0,495000
233,2430,4,2,2,2003,1,2,0,0,510000
234,4460,4,4,2,2001,3,2,0,0,1150000
235,1250,3,2,1,1994,1,2,0,0,253000
236,1540,3,3,1,1980,2,4,1,0,503000
237,1600,3,2,2,1993,1,3,0,0,275000
238,1110,3,1,1,1952,1,2,0,0,249000
239,1840,3,2,1,1974,1,3,1,0,310000
240,2520,3,3,1,1946,2,3,1,0,750000
241,2680,3,2,2,1995,2,2,0,0,630000
242,2410,4,3,1,1956,2,3,1,0,758000
243,1720,4,2,1,1960,0,4,0,0,248500
244,2070,3,2,1,1973,0,3,1,0,310000
245,1760,3,2,2,1985,3,3,0,0,460000
246,1680,3,2,1,1959,3,3,0,0,675000
247,1550,2,2,2,1900,2,3,0,0,526000
248,4120,3,3,2,1994,1,2,1,2,560000
249,1830,4,3,2,1991,2,2,0,0,415000
250,1400,3,1,1,1944,1,2,0,0,246000
251,1870,3,2,1,1957,0,3,0,0,314500
252,6210,7,4,2,1910,2,4,1,2,3200000
253,1040,2,2,2,1904,2,3,0,0,420000
254,2720,3,2,2,1988,1,2,0,0,535000
255,1010,3,1,1,1981,2,2,0,0,350000
256,1580,3,2,1,1967,3,3,1,1,515000
257,2600,4,3,2,1949,2,4,1,0,749950
258,1920,3,2,2,1988,1,2,0,0,230000
259,2350,3,2,2,1929,2,2,1,0,568000
260,1100,1,1,1,1947,1,1,1,0,250000
261,2510,4,2,1,1961,2,3,1,0,581000
262,3240,3,2,2,1991,0,3,0,0,651000
263,2460,3,2,1,1977,2,3,1,0,600000
264,1010,2,1,2,1906,2,3,0,0,500000
265,820,2,1,1,1921,2,2,0,0,475000
266,2420,5,2,1,1978,2,2,1,2,352000
267,1770,3,2,2,1977,2,2,0,0,420000
268,1350,2,2,1,2003,3,2,0,0,428000
269,1960,3,2,1,1920,2,3,1,0,599000
270,3305,4,2,2,1922,1,4,1,0,492000
271,2550,2,2,1,2011,1,2,1,0,630000
272,4130,5,4,2,1985,3,2,1,0,900000
273,2310,4,2,1,1950,3,2,1,0,1110000
274,1650,4,2,1,1955,2,2,0,0,575000
275,2650,4,2,2,1905,2,2,1,0,705000
276,1890,4,2,1,1963,2,2,1,1,940000
277,2190,3,2,1,1967,0,3,0,0,313000
278,2030,3,2,2,1988,2,2,0,0,618080
279,2270,3,3,2,2002,1,2,1,0,640000
280,1610,3,2,1,1917,2,3,1,0,485000
281,760,2,1,1,1913,2,2,0,0,300000
282,1640,2,1,1,1978,3,2,1,0,379500
283,1630,3,2,2,1985,1,3,0,0,339950
284,3560,6,2,2,1914,2,3,0,0,1500000
285,2960,3,3,2,1937,2,2,1,2,1340000
286,1940,3,2,1,1987,2,3,0,0,500000
287,1410,3,2,1,1985,0,2,0,0,239900
288,1040,3,1,1,1968,1,3,0,0,314950
289,820,2,1,1,1944,2,3,0,0,361280
290,910,2,1,1,1956,0,2,0,0,100000
291,3700,7,6,2,1948,2,2,0,1,540000
292,2180,4,2,1,1968,3,3,0,0,480500
293,1600,3,2,2,2000,0,2,0,0,280000
294,1500,3,2,1,1947,2,3,1,0,440000
295,1340,3,1,1,1910,2,2,1,0,530000
296,1860,3,2,1,1985,2,2,0,0,560000
297,2540,3,2,2,1905,2,3,1,3,775000
298,1040,2,1,1,1912,0,4,0,0,160000
299,1380,3,2,1,1960,0,2,0,0,209950
300,1640,3,2,1,1988,0,2,1,0,226500
301,3000,5,2,1,1958,2,4,1,0,380000
302,2140,4,3,1,1968,1,2,1,0,409500
303,1760,3,2,1,1942,2,3,1,0,690000
304,1660,3,2,1,1961,1,3,0,0,405000
305,1830,3,2,2,1990,1,2,0,0,375000
306,2210,4,2,1,1954,2,3,1,1,794154
307,1490,4,1,1,1969,1,2,0,0,185000
308,1260,3,2,2,2005,2,2,1,0,245000
309,4270,5,4,2,2007,2,2,1,0,1532500
310,3900,4,4,2,2006,2,2,0,0,1040000
311,1150,2,2,3,2008,2,2,0,0,425000
312,2656,4,3,2,2014,0,2,0,0,495000
313,2410,5,3,1,2008,2,2,1,0,365000
314,1606,3,2,3,2009,2,2,0,0,417250
315,820,2,1,3,2006,2,2,0,0,339950
316,1540,2,1,1,1946,2,3,1,0,615000
317,2090,3,3,2,2012,1,2,0,0,403000
318,3160,5,2,1,1971,3,3,1,0,980000
319,1730,4,2,1,1977,0,2,1,0,258000
320,1670,3,1,1,1967,2,2,1,0,533000
321,2550,4,2,2,2005,3,2,0,0,537500
322,3040,5,3,1,1968,3,4,1,0,830000
323,1250,3,1,2,1900,2,3,1,0,712000
324,2020,4,2,2,2002,0,2,0,0,262000
325,2660,4,2,2,2003,2,2,0,2,753888
326,980,2,2,2,1922,0,2,0,0,134000
327,1960,3,2,1,1977,2,3,1,0,402000
328,720,2,1,1,1955,2,2,0,0,205000
329,1360,2,2,2,1997,2,2,1,0,553650
330,1870,2,2,1,2006,3,2,0,0,559950
331,2130,4,2,1,1962,0,2,1,0,260000
332,1810,4,2,2,1994,0,2,0,0,270000
333,2200,2,2,1,1973,2,2,1,0,295000
334,1690,3,2,2,1928,2,3,0,1,719000
335,1940,3,2,1,1989,0,2,1,0,266000
336,2320,4,2,2,2004,0,2,0,0,325900
337,2060,4,2,1,1947,2,3,1,0,647500
338,3410,4,1,2,1910,2,4,1,0,1039000
339,2250,4,2,2,1980,3,2,0,0,569000
340,1390,3,2,1,1975,0,3,0,0,246000
341,1060,2,1,1,1926,2,2,0,0,515000
342,1490,3,1,1,1954,2,3,0,0,207000
343,2480,4,2,1,1950,3,2,1,0,780000
344,2440,5,2,2,1975,0,3,0,0,489990
345,2240,3,2,2,1980,0,1,1,0,335000
346,1920,3,2,2,1993,0,2,0,0,295000
347,1890,3,2,1,1944,2,2,1,0,385000
348,2250,4,2,1,1940,0,3,1,0,350000
349,1270,2,1,1,1923,2,3,1,0,235000
350,960,2,2,2,1993,2,2,0,0,358000
351,3290,4,2,2,2002,3,2,0,0,716500
352,2000,4,2,1,1965,2,2,1,0,228000
353,1020,2,1,1,1948,2,3,0,0,405000
354,1840,4,2,1,1967,3,2,1,0,538000
355,1980,3,2,1,1973,3,3,0,0,530000
356,3510,6,3,2,1906,2,3,0,0,1750000
357,1230,2,2,2,1925,2,4,0,0,636000
358,2280,4,2,2,2004,3,2,0,0,535000
359,2430,3,2,1,1952,3,3,1,2,1500000
360,2920,3,2,3,2008,1,2,0,0,868500
361,2280,4,3,2,1930,2,3,1,0,530000
362,1510,3,2,1,1954,3,2,0,0,450000
363,950,3,2,1,1939,2,2,1,0,230000
364,1190,3,2,2,2002,0,2,0,0,229000
365,1310,3,2,1,1976,3,3,0,0,437000
366,2800,5,3,2,1932,2,4,1,0,1307000
367,1750,3,2,2,1991,2,3,0,0,595000
368,1320,3,2,2,1918,2,4,0,0,660000
369,2460,4,2,2,1989,0,2,0,0,347500
370,1240,3,2,1,1967,1,2,0,0,297950
371,1260,3,2,1,1955,0,3,0,0,245000
372,2820,6,2,2,1940,1,4,1,2,543200
373,3820,4,3,2,1990,3,3,1,1,1250000
374,1540,3,2,3,2008,2,2,1,0,413450
375,1550,2,2,2,1972,2,1,0,0,330000
376,1460,3,2,1,1979,3,2,0,0,424500
377,1390,3,1,1,1960,0,3,0,0,230000
378,2640,3,3,2,1912,2,2,1,0,930000
379,1590,3,2,1,1988,1,2,0,0,349000
380,1910,4,2,2,1941,2,4,0,0,835000
381,2015,3,3,2,2007,1,2,0,4,988500
382,1410,3,2,3,2012,2,2,0,0,500000
383,1110,2,2,2,2005,2,2,1,0,499000
384,860,2,1,2,2007,2,2,0,0,321950
385,2310,3,2,2,2011,1,2,0,0,494000
386,1020,2,2,3,2008,2,2,0,0,441750
387,980,2,1,2,2010,2,2,0,0,438000
388,4230,4,2,2,1989,3,2,0,0,985000
389,1640,3,2,1,1972,1,3,0,0,352000
390,3810,4,4,1,2013,1,2,1,1,839900
391,2790,4,3,2,1996,2,2,0,0,765000
392,1750,4,2,2,1926,2,4,1,0,460000
393,1430,4,1,2,1983,0,3,0,0,224500
394,1850,3,2,2,2003,0,2,0,0,254000
395,960,2,1,1,1984,2,3,0,0,255000
396,2480,3,3,1,1976,3,3,1,0,610000
397,3750,4,3,2,1976,3,2,0,0,920000
398,2600,4,2,2,1988,0,2,0,0,402500
399,1390,3,2,1,1912,1,3,1,3,280950
400,2260,4,2,2,1989,2,2,0,0,604000
401,2470,4,2,2,1984,2,2,0,0,565000
402,810,2,1,1,1928,2,0,0,0,255000
403,1650,4,2,1,1959,2,4,1,0,445000
404,3000,3,2,2,2001,3,2,0,4,2400000
405,720,2,1,1,1950,2,2,0,0,195000
406,1390,3,2,1,1922,3,2,0,0,275000
407,1445,3,2,2,2003,2,2,1,0,387000
408,1840,2,1,2,1910,2,3,1,0,490000
409,2100,3,2,2,1999,2,2,0,2,505000
410,1060,3,2,1,1973,2,3,0,0,303500
411,1500,3,2,1,1953,2,4,0,0,270000
412,1970,4,3,1,1977,1,2,1,0,323000
413,1410,3,3,3,2005,2,2,0,0,382000
414,3720,4,3,1,1962,3,4,1,4,1370000
415,2190,4,2,1,1977,0,3,1,0,280000
416,1920,3,2,1,1969,0,3,1,0,260000
417,1160,3,1,1,1959,0,3,0,0,201500
418,5860,4,4,2,1996,3,3,1,0,1157200
419,2000,4,2,2,1926,2,4,1,0,536500
420,2163,4,3,2,2006,0,2,0,0,248000
421,3480,5,3,1,1976,2,3,1,0,532000
422,2840,4,2,2,1998,1,2,0,0,580000
423,1150,2,1,1,1905,2,3,0,0,463000
424,3100,4,3,2,1919,2,2,1,0,742500
425,1420,3,2,1,1963,0,3,1,0,260000
426,2430,4,2,1,1993,3,2,0,0,590000
427,1930,4,2,1,1984,0,2,1,0,312000
428,1660,3,2,1,1980,3,3,1,0,566000
429,1400,3,2,1,1963,3,3,0,0,511555
430,2660,4,2,2,2001,3,2,0,0,583000
431,2000,4,2,1,1968,0,3,1,0,290000
432,2130,4,2,1,1977,1,3,1,0,311100
433,1352,3,2,3,2007,2,2,0,0,325000
434,1750,3,2,1,1987,3,3,1,1,491300
435,2320,5,2,1,1956,1,3,1,0,315000
436,1420,2,1,1,1956,1,2,1,0,360000
437,1940,4,2,2,2003,1,2,0,0,330000
438,1410,3,2,1,1940,2,2,0,0,481450
439,1360,3,1,1,1977,1,2,0,0,234950
440,1220,3,2,1,1962,1,2,0,0,251000
441,2830,4,2,2,1979,3,2,1,0,782000
442,3780,4,3,2,1999,3,2,0,0,833000
443,2330,4,2,2,1978,3,3,0,0,542500
444,3560,3,2,2,1987,3,2,0,0,851000
445,1470,4,2,1,1976,2,2,0,0,325000
446,3060,4,2,2,1992,2,2,0,0,415000
447,1030,3,1,1,1947,2,2,1,0,252500
448,1930,4,2,1,1968,0,3,0,0,465000
449,1780,3,2,1,1979,1,3,0,0,336900
450,2000,3,2,2,1992,1,3,0,0,225000
451,1690,3,2,1,1969,1,3,0,0,270000
452,5190,5,4,2,1987,3,2,1,2,1702500
453,1300,3,2,2,1925,2,2,0,0,536000
454,2400,4,3,2,1982,3,3,0,0,585000
455,1150,2,2,1,1940,2,2,1,0,445000
456,2310,4,2,2,1980,1,2,0,0,320000
457,2730,4,4,2,2006,2,2,1,0,769900
458,2840,4,2,2,2012,1,2,0,0,557000
459,1020,2,2,2,2004,2,2,0,0,212000
460,1340,3,2,3,2008,2,2,0,0,376000
461,3540,4,3,2,2007,1,2,0,0,800000
462,7270,5,6,2,2010,2,2,1,0,2238888
463,998,3,2,2,2007,2,2,1,0,324000
464,3060,5,3,1,1979,2,4,1,0,549900
465,2130,3,2,2,2003,1,2,0,0,320000
466,2520,4,2,1,1921,2,2,1,0,875000
467,1940,4,1,1,1962,0,2,1,0,265000
468,1350,3,2,3,2006,2,2,1,0,394950
469,2160,4,2,2,1902,2,3,0,0,842500
470,1370,3,2,2,2007,2,2,1,0,368000
471,5420,4,4,1,2001,3,2,1,0,1225000
472,2830,4,2,2,1995,2,2,0,0,885000
473,2010,3,2,2,2014,2,2,1,0,453246
474,3300,4,3,2,1953,3,2,0,0,927000
475,1230,2,2,2,2004,2,2,1,0,490000
476,1720,3,2,2,1952,1,3,0,0,341000
477,810,1,1,1,1941,2,4,0,0,235000
478,1560,3,2,2,1928,3,3,0,4,1200000
479,2560,3,2,1,1986,0,2,0,0,560000
480,4700,4,3,2,1978,3,2,1,0,900000
481,1220,2,1,1,1910,2,2,1,0,255000
482,3650,5,3,1,1975,3,3,1,0,1575000
483,2170,3,3,2,1928,3,4,1,0,876650
484,2540,4,2,1,1990,1,2,1,0,540000
485,910,2,1,2,1906,2,3,0,0,350000
486,2980,4,2,2,2000,3,2,1,0,750000
487,2120,4,2,1,1951,2,2,1,1,582000
488,3460,4,4,2,2004,2,2,1,0,1315000
489,2480,5,3,1,2004,2,2,1,0,372500
490,2200,3,2,2,1987,1,2,0,0,410000
491,1730,4,2,1,1943,2,4,1,0,360000
492,2920,3,2,1,1954,2,3,1,4,1015000
493,990,3,1,1,1966,1,3,0,0,225000
494,3040,4,2,2,1999,3,2,0,0,647000
495,4530,5,3,2,2003,3,3,1,0,950000
496,1370,3,2,1,1961,0,3,0,0,185000
497,1940,3,2,2,2004,1,2,0,0,335000
498,1040,3,2,2,2004,2,2,1,0,210000
499,1800,4,2,1,1980,2,3,1,0,522000
500,1720,3,2,1,1954,2,2,0,0,770000
501,980,3,1,1,1941,2,2,1,0,499950
502,3110,4,2,2,2004,3,2,0,0,751000
503,2100,5,3,1,2013,1,2,1,0,330000
504,2020,3,2,1,1956,2,3,1,0,465000
505,2350,4,2,1,1961,3,3,0,0,850000
506,3290,4,2,2,1968,3,3,0,0,947500
507,2180,5,2,2,1986,1,2,0,0,302000
508,1290,2,2,3,2007,2,2,0,0,500000
509,1460,3,1,1,1969,0,3,0,0,201000
510,1290,2,1,2,2008,3,2,0,0,265000
511,2350,4,2,2,1910,2,3,1,0,870300
512,1080,3,1,1,1955,1,3,0,0,339000
513,2670,4,2,2,1989,2,3,0,0,690000
514,3680,4,3,2,2003,2,2,1,0,788000
515,1440,3,2,1,1951,2,2,1,0,315275
516,1940,4,2,1,1922,2,4,1,0,505000
517,1280,3,1,1,1968,3,2,0,0,368000
518,2980,3,3,2,1917,1,4,1,2,947500
519,970,3,1,1,1959,0,2,0,0,156000
520,2110,4,3,2,1930,2,3,1,2,610000
521,1480,2,2,3,2009,3,2,0,0,420000
522,700,2,1,1,1953,2,2,0,0,192000
523,2700,3,2,1,1962,2,3,1,0,910000
524,2330,4,3,2,1918,2,2,0,3,1300000
525,3380,5,2,1,1963,3,3,1,0,1346400
526,2600,4,3,2,1936,2,2,1,0,840000
527,1360,2,2,1,1975,2,2,1,0,300000
528,2780,4,2,1,1978,2,2,1,0,505000
529,1250,3,1,1,1945,1,4,0,0,110000
530,2620,3,2,2,1992,3,2,0,0,746000
531,1350,3,2,1,1941,1,4,0,0,211000
532,2400,4,3,1,1964,2,3,1,0,675000
533,2760,4,2,2,1928,2,4,1,0,734200
534,3070,4,2,1,1976,3,2,1,3,1225000
535,2040,2,2,2,1919,2,3,0,3,615000
536,1770,4,2,2,1911,2,4,0,0,630000
537,3490,4,4,2,2012,3,2,0,0,1264000
538,830,2,2,2,2005,2,2,0,0,301500
539,980,2,2,2,2009,2,2,1,0,369000
540,1570,3,2,3,2010,2,2,0,0,635000
541,3270,4,3,2,2014,3,2,1,0,1033888
542,2160,4,2,2,2010,1,2,0,0,383000
543,3280,4,4,2,2008,2,2,1,0,1050000
544,3360,4,2,2,2001,1,2,0,0,455000
545,3150,5,3,2,2013,3,2,0,0,819900
546,1810,3,4,2,2009,2,3,1,0,625000
547,2740,4,2,2,1993,3,2,0,0,651000
548,3830,5,5,1,1976,3,2,1,0,480000
549,3190,3,3,2,2007,2,2,0,0,757000
550,2350,3,2,1,1977,1,2,1,0,460000
551,2510,4,2,1,1972,0,3,1,0,267345
552,1680,2,2,1,2006,3,2,0,0,530000
553,1770,3,2,1,1954,1,3,1,0,449500
554,1090,3,1,1,1981,1,4,0,0,289000
555,3001,5,2,2,2006,0,2,0,0,373000
